filename,title,duration,bpm,beat_strength,energy,energy_variance,brightness,contrast,dynamic_range,onset_rate
"Girls Need Love (with Drake) - Remix - Summer Walker, Drake.m4a","Girls Need Love (with Drake)   Remix   Summer Walker, Drake",221.58802721088435,95.703125,0.24861986935138702,1.0,0.15170520544052124,0.17005183359226425,23.973338254779687,0.7142499089241028,2.766394952452059
"Love Me - Lil Wayne, Drake, Future.m4a","Love Me   Lil Wayne, Drake, Future",264.96290249433105,123.046875,0.20958834886550903,0.688425600528717,0.06661786884069443,0.23840165224051,22.792211748041225,0.26314371824264526,2.702265084129349
A Milli - Lil Wayne.m4a,A Milli   Lil Wayne,245.29560090702947,103.359375,0.35243940353393555,1.0,0.1590382307767868,0.24363776207266014,23.54332223581822,0.5474578142166138,4.007409820498864
"Shotta Flow (feat. Blueface) [Remix] - NLE Choppa, Blueface.m4a","Shotta Flow (feat. Blueface) [Remix]   NLE Choppa, Blueface",176.6443537414966,117.45383522727273,0.3093658983707428,1.0,0.27170330286026,0.22713540038129867,23.29367706484257,0.8046756386756897,4.1042919552411705
"No Hands (feat. Roscoe Dash & Wale) - Waka Flocka Flame, Roscoe Dash, Wale.m4a","No Hands (feat. Roscoe Dash & Wale)   Waka Flocka Flame, Roscoe Dash, Wale",263.78884353741495,129.19921875,0.2388167381286621,1.0,0.1039571464061737,0.2496829285144073,22.864625749356517,0.5852692127227783,2.9379559408473486
Gyalchester - Drake.m4a,Gyalchester   Drake,189.22956916099773,129.19921875,0.3252742886543274,1.0,0.16872310638427734,0.15580052057112842,23.4032404631124,0.6891944408416748,3.5142499290595213
Distorted Records - A$AP Rocky.m4a,Distorted Records   A$AP Rocky,140.1425850340136,135.99917763157896,0.19615106284618378,1.0,0.16431912779808044,0.15025144986388841,21.31605574305306,0.7595956921577454,2.4546428904284077
"Yeah! (feat. Lil Jon & Ludacris) - USHER, Lil Jon, Ludacris.m4a","Yeah! (feat. Lil Jon & Ludacris)   USHER, Lil Jon, Ludacris",252.9814058956916,103.359375,0.4290459156036377,0.9273098409175873,0.06780623644590378,0.3126830495992478,24.38192453464373,0.3656935393810272,3.759169558857274
"Starboy - The Weeknd, Daft Punk.m4a","Starboy   The Weeknd, Daft Punk",273.3220861678005,92.28515625,0.2431853711605072,1.0,0.12658359110355377,0.1554449587734862,22.556344714587976,0.8205151557922363,4.072118779734092
"Met Gala (feat. Offset) - Gucci Mane, Offset.m4a","Met Gala (feat. Offset)   Gucci Mane, Offset",206.16997732426304,143.5546875,0.29704901576042175,1.0,0.08746844530105591,0.15644789959916477,22.731268605120448,0.3484906852245331,4.68060390035477
oui - Jeremih.m4a,oui   Jeremih,238.33977324263037,117.45383522727273,0.33606046438217163,1.0,0.12728513777256012,0.24524526127563992,23.072631871463926,0.6204104423522949,4.048841646826726
